Namespace,ParentClassName,HandleName,InterfaceName,SummaryText,ClassName,BaseClassName,CloseCode,InheritedHandleName,Munge,MungeR
Vanara.PInvoke,Gdi32,HSECTION,IHandle,Represents a handle to a DIB section.,,,,,Section|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HCOLORSPACE,,,SafeHCOLORSPACE,SafeHANDLE,DeleteColorSpace(handle),,ColorSpace|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HENHMETAFILE,,,SafeHENHMETAFILE,SafeHANDLE,DeleteEnhMetaFile(handle),,EnhMetaFile|MetaFile|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HMETAFILE,,,SafeHMETAFILE,SafeHANDLE,DeleteMetaFile(handle),,MetaFile|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HBITMAP,,,SafeHBITMAP,SafeGraphicsObjectHandle,,HGDIOBJ,Bitmap|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HBRUSH,,,SafeHBRUSH,SafeGraphicsObjectHandle,,HGDIOBJ,Brush|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HDC,,,SafeHDC,SafeHANDLE,DeleteDC(handle),,DC|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HFONT,,,SafeHFONT,SafeGraphicsObjectHandle,,HGDIOBJ,Font|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HPALETTE,,,SafeHPALETTE,SafeGraphicsObjectHandle,,HGDIOBJ,Palette|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HPEN,,,SafeHPEN,SafeGraphicsObjectHandle,,HGDIOBJ,Pen|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HRGN,,,SafeHRGN,SafeGraphicsObjectHandle,,HGDIOBJ,Rgn|Region|Indirect|Ex\b,
Vanara.PInvoke,Gdi32,HSPOOLFILE,IHandle,Provides a handle to a spool file.,SafeHSPOOLFILE,SafeHANDLE,GdiDeleteSpoolFileHandle(handle),,SpoolFile|Indirect|Ex\b|\bGdi,
